cliente;RespCampanha;TempoDesdeUltCompra;TempoRel;VlMedio;Pct_Vestuario;RegValorCli;RendaMensal
10525;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
10728;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
10931;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
11134;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
11337;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
11540;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
11743;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
11946;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
12149;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
12352;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
12555;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
12758;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
12961;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
13164;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
13367;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
13570;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
13773;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
13976;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
14179;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
14382;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
14585;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
14788;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
14991;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
15194;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
15397;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
15600;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
15803;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
16006;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
16209;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
16412;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
16615;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
16818;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
17021;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
